sentence_id,doc_id,sentence_index,text,vote_type
1062,62,39,"Stateful operations, such as distinct and sorted, may incorporate state from previously seen elements when processing new elements.",2
1061,62,38,"Stateless operations, such as filter and map, retain no state from previously seen element when processing a new element -- each element can be processed independently of operations on other elements.",2
1058,62,35,"Laziness also allows avoiding examining all the data when it is not necessary; for operations such as ""find the first string longer than 1000 characters"", it is only necessary to examine just enough strings to find one that has the desired characteristics without examining all of the strings available from the source.",2
1054,62,31,"After the terminal operation is performed, the stream pipeline is considered consumed, and can no longer be used; if you need to traverse the same data source again, you must return to the data source to get a new stream.",2
48438,6030,0,A node in a hierarchical collection of preference data.,1
63196,8363,0,Server-side request interceptor.,1
7358,492,0,A type-safe enumeration of possible color states.,1
72452,12237,0,Returns a subset of the table as an array of bytes for a specified tag.,1
72454,12237,2,The byte array returned is a copy of the font data in memory.,2
228024,77916,0,Gets the floatable property.,1
203700,66809,0,Atomically sets the value to the given updated value if the current value == the expected value.,2
70192,11109,0,Adds the specified mouse listener to receive mouse events from this TrayIcon.,1
21665,2254,9,"*; @Nesting(TOP_LEVEL) public class NestingExamples { @Nesting(MEMBER) static class MemberClass1{} @Nesting(MEMBER) class MemberClass2{} public static void main(String... argv) { @Nesting(LOCAL) class LocalClass{}; Class<?>[] classes = { NestingExamples.class, MemberClass1.class, MemberClass2.class, LocalClass.class }; for(Class<?> clazz : classes) { System.out.format(""%s is %s%n"", clazz.getName(), clazz.getAnnotation(Nesting.class).value()); } } } @Retention(RUNTIME) @interface Nesting { NestingKind value(); } .",0
63296,8408,0,The LifespanPolicy specifies the lifespan of the objects implemented in the created POA.,1
224088,76024,0,This method is public as an implementation side effect.,1
63215,8370,1,This is unique only within the scope of the ORB that created the object adapter.,2
81245,16113,0,"Constant for the ""Vai"" Unicode character block.",1
63214,8370,0,The name of an object adapter.,1
62429,8136,1,"When the client uses the DII to make an invocation, any user exception returned from the server is enclosed in an Any object contained in the UnknownUserException object.",2
62428,8136,0,A class that contains user exceptions returned by the server.,1
203788,66841,3,Implementation Considerations An implementation may (and typically does) require that the current thread hold the lock associated with this Condition when this method is called.,2
93437,20000,0,Constructs a group descriptor that uses the system defaults for group implementation and code location.,1
93438,20000,1,Properties specify Java environment overrides (which will override system properties in the group implementation's VM).,2
93439,20000,2,"The command environment can control the exact command/options used in starting the child VM, or can be null to accept rmid's default.",2
93440,20000,3,"This constructor will create an ActivationGroupDesc with a null group class name, which indicates the system's default ActivationGroup implementation.",1
203688,66798,0,Returns the current value of the mark.,1
81213,16084,0,"Constant for the ""Sundanese Supplement"" Unicode character block.",1
70321,11152,0,Returns an array of all the objects currently registered as FooListeners upon this Window.,1
72846,12423,0,Do not allow the line to be justified.,1
900,54,9,"One application is to generate sequence numbers, as in: class Sequencer { private final AtomicLong sequenceNumber = new AtomicLong(0); public long next() { return sequenceNumber.getAndIncrement(); } } It is straightforward to define new utility functions that, like getAndIncrement, apply a function to a value atomically.",2
891,54,0,A small toolkit of classes that support lock-free thread-safe programming on single variables.,1
21747,2277,1,"WARNING: The AnnotationValueVisitor interface implemented by this class may have methods added to it in the future to accommodate new, currently unknown, language structures added to future versions of the Java™ programming language.",2
21746,2277,0,A skeletal visitor for annotation values with default behavior appropriate for the RELEASE_6 source version.,1
134700,36196,0,Sets the designated parameter to an int in the Java programming language.,1
21751,2277,5,"When the new visitor is introduced, all or portions of this visitor may be deprecated.",2
21750,2277,4,A new abstract annotation value visitor class will also be introduced to correspond to the new language level; this visitor will have different default behavior for the visit method in question.,2
64888,8905,1,This method will return null if a BufferStrategy has not yet been created or has been disposed.,2
64887,8905,0,Returns the BufferStrategy used by this component.,1
203834,66848,2,Any restrictions and the exception type must be documented by that Lock implementation.,2
203832,66848,0,Releases the lock.,1
203833,66848,1,Implementation Considerations A Lock implementation will usually impose restrictions on which thread can release a lock (typically only the holder of the lock can release it) and may throw an (unchecked) exception if the restriction is violated.,2
70172,11102,3,"On these platforms where dynamic layout during resizing is not supported (or is always supported), setting this property has no effect.",2
70169,11102,0,"Controls whether the layout of Containers is validated dynamically during resizing, or statically, after resizing is complete.",1
30344,3373,0,A multiplexing UI used to combine ToolBarUIs.,1
72489,12263,0,The maximum amount by which the left side of this glyph can shrink (a positive number).,1
69976,11033,0,Creates this toolkit's implementation of CheckboxMenuItem using the specified peer interface.,1
203628,66747,0,Atomically sets the value to the given updated value if the current value == the expected value.,2
63294,8407,0,The LifespanPolicy specifies the lifespan of the objects implemented in the created POA.,1
81172,16043,0,"Constant for the ""Miscellaneous Symbols"" Unicode character block.",1
123309,31001,0,Visits any program element as if by passing itself to that element's accept method and passing null for the additional parameter.,1
70387,11180,0,Causes this Window to be sized to fit the preferred size and layouts of its subcomponents.,1
303400,100000,0,Returns whether the cursor is pointing to the position after the last row.,2
303401,100000,1,Returns boolean whether the cursor is after the last result.,1
203821,66847,1,If the lock is available this method returns immediately with the value true.,2
203820,66847,0,Acquires the lock if it is free within the given waiting time and the current thread has not been interrupted.,1
203823,66847,3,"If the current thread: has its interrupted status set on entry to this method; or is interrupted while acquiring the lock, and interruption of lock acquisition is supported, then InterruptedException is thrown and the current thread's interrupted status is cleared.",2
203822,66847,2,"If the lock is not available then the current thread becomes disabled for thread scheduling purposes and lies dormant until one of three things happens: The lock is acquired by the current thread; or Some other thread interrupts the current thread, and interruption of lock acquisition is supported; or The specified waiting time elapses If the lock is acquired then the value true is returned.",2
203824,66847,4,If the specified waiting time elapses then the value false is returned.,2
203827,66847,7,The programmer should be aware that this may be the case.,2
203829,66847,9,"An implementation can favor responding to an interrupt over normal method return, or reporting a timeout.",2
203828,66847,8,An implementation should document when this is the case.,2
13839,1417,0,This class is a simple holder for a key pair (a public key and a private key).,1
13840,1417,1,"It does not enforce any security, and, when initialized, should be treated like a PrivateKey.",2
32431,3694,3,"The @XmlElements annnotation can be used with the following program elements: a JavaBean property non static, non transient field This annotation is intended for annotation a JavaBean collection property (e.g.",2
32429,3694,1,Multiple annotations of the same type are not allowed on a program element.,2
32428,3694,0,A container for multiple @XmlElement annotations.,1
32434,3694,6,"If @XmlIDREF is also specified on the JavaBean property, then each @XmlElement.type() must contain a JavaBean property annotated with @XmlID.",2
32433,3694,5,"Usage The usage is subject to the following constraints: This annotation can be used with the following annotations: @XmlIDREF, @XmlElementWrapper.",2
32432,3694,4,List).,0
32437,3694,9,"<!-- XML Schema fragment --> <xs:complexType name=""Foo""> <xs:sequence> <xs:choice minOccurs=""0"" maxOccurs=""unbounded""> <xs:element name=""A"" type=""xs:int""/> <xs:element name=""B"" type=""xs:float""/> <xs:choice> </xs:sequence> </xs:complexType> .",0
62226,8076,0,A description in the Interface Repository of a member of an IDL union.,1
203690,66800,0,Atomically sets the value of both the reference and mark to the given update values if the current reference is == to the expected reference and the current mark is equal to the expected mark.,2
72866,12429,0,Attribute key for the posture of a font.,1
227870,77834,1,An instance of PlainDocument is returned.,2
123450,31102,0,Default value to be returned; defaultAction returns this value unless the method is overridden.,1
55807,7000,4,Please see XMLEncoder.,0
65169,9024,2,Alpha is defaulted to 255.,2
65167,9024,0,"Creates an opaque sRGB color with the specified combined RGB value consisting of the red component in bits 16-23, the green component in bits 8-15, and the blue component in bits 0-7.",1
227869,77834,0,Creates the default implementation of the model to be used at construction if one isn't explicitly given.,1
30346,3374,0,A multiplexing UI used to combine ToolTipUIs.,1
204208,66969,0,Throws UnsupportedOperationException because ReadLocks do not support conditions.,1
72640,12337,0,Compares this ImageGraphicAttribute to the specified ImageGraphicAttribute.,1
6777,442,3,"If no index is specified when adding a component to a container, it will be added to the end of the list (and hence to the bottom of the stacking order).",2
62586,8202,0,Address is the Host and Port information represented as a String.,1
232175,80105,0,"Updates the componentListener, if necessary.",1
22583,2373,0,Represents runtime exceptions thrown in the agent when performing operations on MBeans.,1
22584,2373,1,It wraps the actual java.lang.RuntimeException thrown.,2
81138,16010,0,"Constant for the ""Katakana Phonetic Extensions"" Unicode character block.",1
32424,3693,0,Marks a property that refers to classes with XmlElement or JAXBElement.,1
32426,3693,2,"When a sub-class is assigned to a property, an element property produces the same tag name with @xsi:type, whereas a reference property produces a different tag name (the tag name that's on the the sub-class.)",2
32427,3693,3,"This annotation can be used with the following annotations: XmlJavaTypeAdapter, XmlElementWrapper.",2
49326,6179,0,An abstract superclass for encoding and writing images.,1
22326,2334,0,Describes an argument of an operation exposed by an MBean.,1
6254,386,0,This package is generated from the IOP::Codec IDL interface definition.,1
21740,2274,1,This can occur if the language evolves and new kinds of types are added to the TypeMirror hierarchy.,2
1326,66,1,"Unless otherwise specified in a particular implementation, the collections returned by methods in this package should be expected to be unmodifiable by the caller and unsafe for concurrent access.",2
49133,6138,0,"This class provides the functionality of a ""Message Authentication Code"" (MAC) algorithm.",1
65280,9067,1,"If listener l is null, no exception is thrown and no action is performed.",2
65279,9067,0,Adds the specified hierarchy listener to receive hierarchy changed events from this component when the hierarchy to which this container belongs changes.,1
34041,4018,0,The Holder for Boolean.,1
34042,4018,1,"For more information on Holder files, see ""Generated Files: Holder Files"".",0
34044,4018,3,"If an IDL method signature has an IDL boolean as an ""out"" or ""inout"" parameter, the programmer must pass an instance of BooleanHolder as the corresponding parameter in the method invocation; for ""inout"" parameters, the programmer must also fill the ""in"" value to be sent to the server.",2
34045,4018,4,"Before the method invocation returns, the ORB will fill in the value corresponding to the ""out"" value returned from the server.",2
81273,16123,0,"Returns the object representing the Unicode block containing the given character (Unicode code point), or null if the character is not a member of a defined block.",1
134753,36211,1,"This method differs from the setCharacterStream (int, Reader) method because it informs the driver that the parameter value should be sent to the server as a NCLOB.",2
11458,1067,1,It provides the ability to flag a reflected object as suppressing default Java language access control checks when it is used.,2
72702,12376,0,Identifies the KHMER range and decimal base.,1
21799,2283,5,"When the new visitor is introduced, all or portions of this visitor may be deprecated.",2
70373,11174,0,Always returns true because all Windows must be roots of a focus traversal cycle.,1
70205,11111,3,"Either the caption or the text may be null, but an NullPointerException is thrown if both are null.",2
65422,9124,0,Returns whether focus traversal keys are enabled for this Component.,1
203545,66679,1,The detail message is set to: (cause == null ?,2
70203,11111,1,The message will disappear after a time or if the user clicks on it.,0
303534,100042,0,This method was deprecated in API level 11.,2
303535,100042,1,Use getType(int) Parameters columnIndex int Returns boolean,2
49229,6170,0,"An interface to be implemented by objects that can determine the settings of an IIOParam object, either by putting up a GUI to obtain values from a user, or by other means.",1
