id,api_entity_with_single_des_id,qualified_name,single_description,final_annotation_type,core_verb
12343,44817,android.net.LocalSocket.shutdownInput(),Shuts down the input side of the socket.,0,\N
13421,49510,android.test.ApplicationTestCase.tearDown(),Shuts down the Application under test.,0,\N
11932,21845,javax.security.auth.spi.LoginModule.abort(),Method to abort the authentication process (phase 2).,0,abort
12338,33504,org.w3c.dom.ls.LSParser.abort(),Abort the loading of the document that is currently being loaded by the LSParser.,0,abort
9722,15639,java.util.concurrent.ForkJoinPool.ManagedBlocker.block(),"Possibly blocks the current thread, for example waiting for a lock or condition.",0,block
10220,32165,org.omg.CORBA.ORB.run(),"This operation blocks the current thread until the ORB has completed the shutdown process, initiated when some thread calls shutdown.",0,block
12899,9857,java.nio.channels.MembershipKey.block(java.net.InetAddress),Block multicast datagrams from the given source address.,0,block
12303,46454,android.os.StrictMode.ThreadPolicy.Builder.penaltyDeath(),Crash the whole process on violation.,0,crash
12514,46481,android.os.StrictMode.VmPolicy.Builder.penaltyDeathOnCleartextNetwork(),Crashes the whole process when cleartext network traffic is detected.,0,crash
13441,46480,android.os.StrictMode.VmPolicy.Builder.penaltyDeath(),Crashes the whole process on violation.,0,crash
7466,44178,android.media.browse.MediaBrowser.disconnect(),Disconnects from the media browser service.,0,disconnect
7468,36549,android.bluetooth.BluetoothGattServer.cancelConnection(android.bluetooth.BluetoothDevice),"Disconnects an established connection, or cancels a connection attempt currently in progress.",0,disconnect
7469,37358,android.content.ContextWrapper.unbindService(android.content.ServiceConnection),Disconnect from an application service.,0,disconnect
7470,49757,android.test.mock.MockContext.unbindService(android.content.ServiceConnection),Disconnect from an application service.,0,disconnect
7473,9807,java.nio.channels.DatagramChannel.disconnect(),Disconnects this channel's socket.,0,disconnect
7474,24752,javax.swing.JSpinner.DefaultEditor.dismiss(javax.swing.JSpinner),Disconnect this editor from the specified JSpinner.,0,disconnect
7475,36592,"android.bluetooth.BluetoothHealth.disconnectChannel(android.bluetooth.BluetoothDevice,android.bluetooth.BluetoothHealthAppConfiguration,int)",Disconnect a connected health channel.,0,disconnect
11454,44286,android.media.midi.MidiSender.onDisconnect(android.media.midi.MidiReceiver),Called to disconnect a MidiReceiver from the sender,0,disconnect
